agent,refactoring_type,count,share_pct
OpenAI_Codex,Split Conditional,4,0.1089621356578589
OpenAI_Codex,Collapse Hierarchy,3,0.08172160174339417
OpenAI_Codex,Encapsulate Attribute,3,0.08172160174339417
OpenAI_Codex,Extract Attribute,3,0.08172160174339417
OpenAI_Codex,Invert Condition,3,0.08172160174339417
OpenAI_Codex,Localize Parameter,3,0.08172160174339417
OpenAI_Codex,Move And Rename Method,3,0.08172160174339417
OpenAI_Codex,Push Down Attribute,3,0.08172160174339417
OpenAI_Codex,Merge Conditional,2,0.05448106782892945
OpenAI_Codex,Modify Class Annotation,2,0.05448106782892945
OpenAI_Codex,Move Class,2,0.05448106782892945
OpenAI_Codex,Move Code,2,0.05448106782892945
OpenAI_Codex,Remove Parameter Modifier,2,0.05448106782892945
OpenAI_Codex,Replace Pipeline With Loop,2,0.05448106782892945
OpenAI_Codex,Add Variable Annotation,1,0.027240533914464723
OpenAI_Codex,Change Type Declaration Kind,1,0.027240533914464723
OpenAI_Codex,Merge Method,1,0.027240533914464723
OpenAI_Codex,Move And Rename Attribute,1,0.027240533914464723
OpenAI_Codex,Parameterize Attribute,1,0.027240533914464723
OpenAI_Codex,Replace Attribute,1,0.027240533914464723
OpenAI_Codex,Replace Loop With Pipeline,1,0.027240533914464723
OpenAI_Codex,Split Method,1,0.027240533914464723
