agent,full_name,refactoring_type,count
Copilot,Azure/azure-sdk-for-java,Replace Generic With Diamond,5
Copilot,Azure/azure-sdk-for-java,Replace Variable With Attribute,14
Copilot,Azure/azure-sdk-for-java,Split Attribute,4
Copilot,Azure/azure-sdk-for-java,Split Class,7
Copilot,Azure/azure-sdk-for-java,Split Conditional,4
Copilot,Azure/azure-sdk-for-java,Split Method,2
Copilot,Azure/azure-sdk-for-java,Split Parameter,3
Copilot,Azure/azure-sdk-for-java,Split Variable,4
Copilot,CarGuo/GSYVideoPlayer,Add Attribute Modifier,1
Copilot,CarGuo/GSYVideoPlayer,Add Method Modifier,1
Copilot,CarGuo/GSYVideoPlayer,Extract Variable,1
Copilot,EduMIPS64/edumips64,Add Attribute Modifier,1
Copilot,EduMIPS64/edumips64,Add Method Annotation,1
Copilot,EduMIPS64/edumips64,Change Attribute Access Modifier,1
Copilot,EduMIPS64/edumips64,Change Attribute Type,4
Copilot,EduMIPS64/edumips64,Change Class Access Modifier,4
Copilot,EduMIPS64/edumips64,Change Method Access Modifier,1
Copilot,EduMIPS64/edumips64,Change Parameter Type,6
Copilot,EduMIPS64/edumips64,Change Return Type,4
Copilot,EduMIPS64/edumips64,Change Variable Type,26
Copilot,EduMIPS64/edumips64,Extract And Move Method,6
Copilot,EduMIPS64/edumips64,Extract Superclass,3
Copilot,EduMIPS64/edumips64,Inline Variable,1
Copilot,EduMIPS64/edumips64,Move And Inline Method,2
Copilot,EduMIPS64/edumips64,Move And Rename Method,1
Copilot,EduMIPS64/edumips64,Move Class,3
Copilot,EduMIPS64/edumips64,Pull Up Attribute,15
Copilot,EduMIPS64/edumips64,Pull Up Method,21
Copilot,EduMIPS64/edumips64,Remove Class Modifier,2
Copilot,EduMIPS64/edumips64,Remove Method Annotation,1
Copilot,EduMIPS64/edumips64,Rename Method,1
Copilot,apolloconfig/apollo,Add Parameter,7
Copilot,apolloconfig/apollo,Remove Parameter,6
Copilot,apolloconfig/apollo,Rename Attribute,1
Copilot,apolloconfig/apollo,Rename Method,2
Copilot,apolloconfig/apollo,Rename Parameter,4
Copilot,binarywang/WxJava,Change Variable Type,1
Copilot,binarywang/WxJava,Extract Method,2
Copilot,binarywang/WxJava,Extract Superclass,1
Copilot,binarywang/WxJava,Extract Variable,3
Copilot,binarywang/WxJava,Rename Attribute,100
Copilot,binarywang/WxJava,Rename Class,1
Copilot,binarywang/WxJava,Rename Variable,1
Copilot,camunda/camunda,Add Attribute Annotation,1
Copilot,camunda/camunda,Add Attribute Modifier,2
Copilot,camunda/camunda,Add Class Annotation,33
Copilot,camunda/camunda,Add Method Annotation,59
Copilot,camunda/camunda,Add Parameter,12
Copilot,camunda/camunda,Add Parameter Modifier,2
Copilot,camunda/camunda,Change Attribute Type,3
Copilot,camunda/camunda,Change Parameter Type,4
Copilot,camunda/camunda,Change Return Type,1
Copilot,camunda/camunda,Change Variable Type,6
Copilot,camunda/camunda,Extract And Move Method,1
Copilot,camunda/camunda,Extract Method,4
Copilot,camunda/camunda,Extract Variable,4
Copilot,camunda/camunda,Inline Variable,1
Copilot,camunda/camunda,Modify Class Annotation,1
Copilot,camunda/camunda,Modify Method Annotation,1
Copilot,camunda/camunda,Modify Parameter Annotation,1
Copilot,camunda/camunda,Move Class,1
Copilot,camunda/camunda,Remove Attribute Annotation,1
Copilot,camunda/camunda,Remove Class Annotation,17
Copilot,camunda/camunda,Remove Method Annotation,5
Copilot,camunda/camunda,Remove Method Modifier,1
Copilot,camunda/camunda,Remove Parameter,6
Copilot,camunda/camunda,Remove Thrown Exception Type,3
Copilot,camunda/camunda,Rename Attribute,5
Copilot,camunda/camunda,Rename Class,3
Copilot,camunda/camunda,Rename Method,11
Copilot,camunda/camunda,Rename Parameter,4
Copilot,camunda/camunda,Rename Variable,3
Copilot,halo-dev/halo,Extract Method,1
Copilot,halo-dev/halo,Extract Variable,1
Copilot,jenkinsci/jira-plugin,Add Class Annotation,1
Copilot,jenkinsci/jira-plugin,Add Method Annotation,3
Copilot,jenkinsci/jira-plugin,Add Parameter,1
Copilot,jenkinsci/jira-plugin,Change Attribute Type,2
Copilot,jenkinsci/jira-plugin,Change Method Access Modifier,5
Copilot,jenkinsci/jira-plugin,Change Variable Type,12
Copilot,jenkinsci/jira-plugin,Extract And Move Method,2
Copilot,jenkinsci/jira-plugin,Extract Class,1
Copilot,jenkinsci/jira-plugin,Inline Variable,4
Copilot,jenkinsci/jira-plugin,Move And Rename Class,1
Copilot,jenkinsci/jira-plugin,Move And Rename Method,1
Copilot,jenkinsci/jira-plugin,Move Class,38
Copilot,jenkinsci/jira-plugin,Move Method,3
Copilot,jenkinsci/jira-plugin,Move Source Folder,2
Copilot,jenkinsci/jira-plugin,Remove Method Annotation,4
Copilot,jenkinsci/jira-plugin,Remove Variable Modifier,5
Copilot,jenkinsci/jira-plugin,Rename Attribute,1
Copilot,jenkinsci/jira-plugin,Rename Method,3
Copilot,jenkinsci/jira-plugin,Rename Variable,5
Copilot,microsoft/ApplicationInsights-Java,Add Attribute Modifier,1
Copilot,microsoft/ApplicationInsights-Java,Add Class Annotation,3
Copilot,microsoft/ApplicationInsights-Java,Add Class Modifier,1
Copilot,microsoft/ApplicationInsights-Java,Add Method Annotation,9
Copilot,microsoft/ApplicationInsights-Java,Add Parameter,2
Copilot,microsoft/ApplicationInsights-Java,Add Thrown Exception Type,5
Copilot,microsoft/ApplicationInsights-Java,Change Method Access Modifier,1
Copilot,microsoft/ApplicationInsights-Java,Change Return Type,2
Copilot,microsoft/ApplicationInsights-Java,Change Variable Type,2
Copilot,microsoft/ApplicationInsights-Java,Encapsulate Attribute,3
Copilot,microsoft/ApplicationInsights-Java,Extract And Move Method,12
Copilot,microsoft/ApplicationInsights-Java,Inline Variable,4
Copilot,microsoft/ApplicationInsights-Java,Localize Parameter,1
Copilot,microsoft/ApplicationInsights-Java,Move And Rename Method,1
Copilot,microsoft/ApplicationInsights-Java,Move Method,1
Copilot,microsoft/ApplicationInsights-Java,Remove Class Annotation,1
Copilot,microsoft/ApplicationInsights-Java,Remove Method Annotation,1
Copilot,microsoft/ApplicationInsights-Java,Remove Thrown Exception Type,17
Copilot,microsoft/ApplicationInsights-Java,Rename Method,4
Copilot,microsoft/ApplicationInsights-Java,Rename Variable,3
Copilot,microsoft/ApplicationInsights-Java,Replace Attribute With Variable,1
Copilot,microsoft/ApplicationInsights-Java,Replace Variable With Attribute,8
Copilot,microsoft/ApplicationInsights-Java,Try With Resources,2
Copilot,microsoft/typespec,Add Attribute Annotation,556
Copilot,microsoft/typespec,Add Class Annotation,2
Copilot,microsoft/typespec,Add Class Modifier,4
Copilot,microsoft/typespec,Add Method Annotation,256
Copilot,microsoft/typespec,Add Parameter,277
Copilot,microsoft/typespec,Add Variable Modifier,1
Copilot,microsoft/typespec,Change Attribute Type,38
Copilot,microsoft/typespec,Change Method Access Modifier,66
Copilot,microsoft/typespec,Change Parameter Type,39
Copilot,microsoft/typespec,Change Return Type,95
Copilot,microsoft/typespec,Change Type Declaration Kind,5
Copilot,microsoft/typespec,Change Variable Type,97
Copilot,microsoft/typespec,Collapse Hierarchy,8
Copilot,microsoft/typespec,Encapsulate Attribute,1
Copilot,microsoft/typespec,Extract Class,1
Copilot,microsoft/typespec,Extract Interface,1
Copilot,microsoft/typespec,Extract Method,3
Copilot,microsoft/typespec,Extract Variable,214
